hyperparams,train_MSE,train_MAE,train_RMSE,train_R2,test_MSE,test_MAE,test_RMSE,test_R2
cfgA,790.7479858398438,19.065475463867188,28.120241567949655,0.9901307225227356,855.0336303710938,18.615459442138672,29.240958095984027,0.9891867637634277
cfgB,782.2710571289062,18.409521102905273,27.96910897988898,0.9902365207672119,699.4639282226562,17.146686553955078,26.44738036597682,0.9911541938781738
cfgC,560.4579467773438,16.281177520751953,23.673993046745277,0.9930049777030945,581.0125732421875,16.566755294799805,24.10420239796761,0.992652177810669
cfgD,951.060546875,21.656097412109375,30.839269558065087,0.9881298542022705,947.6588134765625,21.58545684814453,30.78406752650732,0.9880154132843018
cfgE,629.9764404296875,15.811056137084961,25.099331473760163,0.9921373128890991,602.0978393554688,15.015105247497559,24.537682028982868,0.9923855662345886
